Sheet by Hematite based on 1.1 data provided by @Kaphotics!,,,,,,,,,,,,,,,,,,,,
Pokémon,,Sticker,Lv,Ability,,Item,Moves,Nature,EVs,,,,,,IVs,,,,,
,Trainer ID 191,,Champion Cynthia,,,,,,,,,,,,,,,,,
,Spiritomb,,61,,Pressure,Sitrus Berry,Shadow Ball / Dark Pulse / Psychic / Sucker Punch,Quiet,252,6,0,252,0,0,31,31,31,31,31,31
,Roserade,,60,,Poison Point,Expert Belt,Dazzling Gleam / Shadow Ball / Sludge Bomb / Energy Ball,Timid,52,0,0,252,0,204,31,0,31,31,31,31
,Gastrodon,,60,,Storm Drain,Leftovers,Scald / Earthquake / Sludge Bomb / Rock Tomb,Relaxed,252,0,252,0,6,0,31,31,31,31,31,0
,Lucario,,63,,Inner Focus,Wise Glasses,Aura Sphere / Dragon Pulse / Flash Cannon / Nasty Plot,Timid,52,0,0,252,0,204,31,0,31,31,31,31
,Milotic,,63,,Marvel Scale,Flame Orb,Recover / Mirror Coat / Ice Beam / Scald,Bold,252,0,252,6,0,0,31,0,31,31,31,31
,Garchomp,!,66,,Rough Skin,Yache Berry,Dragon Claw / Earthquake / Swords Dance / Poison Jab,Jolly,52,252,0,0,0,204,31,31,31,0,31,31
,Trainer ID 192,,Ace Trainer Sergio,,,,,,,,,,,,,,,,,
,Floatzel,,37,Swift Swim,,,Ice Fang / Crunch / Tail Whip / Aqua Jet,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Sneasel,,37,Inner Focus,,,Metal Claw / Icy Wind / Hone Claws / Aerial Ace,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 193,,Ace Trainer Isaiah,,,,,,,,,,,,,,,,,
,Quagsire,,39,Damp,,,Yawn / Muddy Water / Ice Beam / Bulldoze,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 194,,Ace Trainer Savannah,,,,,,,,,,,,,,,,,
,Pelipper,,35,Drizzle,,,Tailwind / Wing Attack / Water Pulse / Ice Beam,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Golduck,,36,Damp,,,Aqua Jet / Zen Headbutt / Ice Beam / Dig,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Steelix,,37,Sturdy,,,Ice Fang / Screech / Iron Tail / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 195,,Ace Trainer Alicia,,,,,,,,,,,,,,,,,
,Sneasel,,37,Inner Focus,,,Metal Claw / Icy Wind / Hone Claws / Attract,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Tentacruel,,37,Clear Body,,,Bubble Beam / Acid Armor / Ice Beam / Sludge Bomb,Modest,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 196,,Collector Douglas,,,,,,,,,,,,,,,,,
,Roselia,,20,Poison Point,,,Mega Drain / Leech Seed / Magical Leaf / Toxic Spikes,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Roselia,,22,Poison Point,,,Poison Sting / Mega Drain / Leech Seed / Magical Leaf,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Roselia,,24,Poison Point,,,Poison Sting / Mega Drain / Leech Seed / Magical Leaf,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 197,,Collector Brady,,,,,,,,,,,,,,,,,
,Ponyta,,22,Run Away,,,Growl / Tail Whip / Flame Charge / Agility,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Ponyta,,20,Run Away,,,Tackle / Growl / Flame Charge / Agility,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Ponyta,,24,Run Away,,,Tackle / Growl / Ember / Flame Charge,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 198,,Collector Ivan,,,,,,,,,,,,,,,,,
,Hippopotas,,28,Sand Stream,,,Yawn / Sand Tomb / Crunch / Take Down,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Hippopotas,,28,Sand Stream,,,Yawn / Sand Tomb / Crunch / Take Down,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Hippopotas,,34,Sand Stream,,,Yawn / Sand Tomb / Crunch / Take Down,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 199,,Collector Fernando,,,,,,,,,,,,,,,,,
,Mr. Mime,,17,Filter,,,Power Swap / Copycat / Baton Pass / Encore,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Mr. Mime,,20,Soundproof,,,Copycat / Encore / Confusion / Role Play,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Mr. Mime,,20,Soundproof,,,Copycat / Encore / Confusion / Role Play,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 200,,Collector Edwin,,,,,,,,,,,,,,,,,
,Sudowoodo,,19,Rock Head,,,Block / Stone Edge / Hammer Arm / Wood Hammer,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Sudowoodo,,19,Rock Head,,,Stone Edge / Hammer Arm / Wood Hammer / Flail,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Sudowoodo,,19,Rock Head,,,Slam / Stone Edge / Hammer Arm / Wood Hammer,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 201,,Dragon Tamer Hayden,,,,,,,,,,,,,,,,,
,Swablu,,53,Natural Cure,,,Dragon Breath / Moonblast / Round / Perish Song,Modest,0,0,0,0,0,0,0,0,0,0,0,0
,Altaria,,57,Natural Cure,,,Dragon Dance / Sky Attack / Take Down / Pluck,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 202,,Ace Trainer Dennis,,,,,,,,,,,,,,,,,
,Monferno,,23,Blaze,,,Leer / Taunt / Fury Swipes / Flame Wheel,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,23,Intimidate,,,Bite / Leer / Ice Fang / Waterfall,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 203,,Ace Trainer Cesar,,,,,,,,,,,,,,,,,
,Skorupi,,30,Battle Armor,,,Bite / Pin Missile / Toxic / Iron Tail,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Steelix,,32,Rock Head,,,Thunder Fang / Ice Fang / Curse / Iron Tail,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 204,,Ace Trainer Allen,,,,,,,,,,,,,,,,,
,Gastly,,26,Levitate,,,Mean Look / Payback / Hex / Toxic,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Haunter,,28,Levitate,,,Mean Look / Shadow Punch / Hex / Toxic,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Gengar,,30,Cursed Body,,,Mean Look / Night Shade / Hex / Toxic,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 205,,Ace Trainer Zachery,,,,,,,,,,,,,,,,,
,Steelix,,44,Sturdy,,,Thunder Fang / Screech / Iron Tail / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Medicham,,44,Pure Power,,,Zen Headbutt / Thunder Punch / Reversal / Rock Tomb,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 206,,Ace Trainer Ruben,,,,,,,,,,,,,,,,,
,Poliwhirl,,54,Damp,,,Hydro Pump / Hypnosis / Earth Power / Body Slam,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,54,Intimidate,,,Dragon Dance / Waterfall / Ice Fang / Crunch,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 207,,Ace Trainer Breanna,,,,,,,,,,,,,,,,,
,Azumarill,,33,Huge Power,,,Play Rough / Iron Tail / Bulldoze / Waterfall,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 208,,Ace Trainer Catherine,,,,,,,,,,,,,,,,,
,Misdreavus,,30,Levitate,,,Growl / Confuse Ray / Hex / Trick Room,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Drifblim,,30,Flare Boost,,,Phantom Force / Strength Sap / Minimize / Fly,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 209,,Ace Trainer Destiny,,,,,,,,,,,,,,,,,
,Kadabra,,44,Inner Focus,,,Reflect / Psychic / Shock Wave / Energy Ball,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Raichu,,44,Static,,,Thunder Punch / Thunderbolt / Light Screen / Quick Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 210,,Ace Trainer Jamie,,,,,,,,,,,,,,,,,
,Metagross,,56,Clear Body,,,Meteor Mash / Hammer Arm / Psychic / Zen Headbutt,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 211,,Ace Trainer Maya,,,,,,,,,,,,,,,,,
,Glameow,,23,Own Tempo,,,Fake Out / Growl / Aerial Ace / Fury Swipes,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Kadabra,,23,Synchronize,,,Kinesis / Psybeam / Reflect / Ally Switch,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 212,,Psychic Maxwell,,,,,,,,,,,,,,,,,
,Misdreavus,,52,Levitate,,,Mean Look / Perish Song / Shadow Ball / Pain Split,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Haunter,,54,Levitate,,,Shadow Ball / Dark Pulse / Destiny Bond / Curse,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 213,,Psychic Brittney,,,,,,,,,,,,,,,,,
,Medicham,,52,Pure Power,,,High Jump Kick / Psych Up / Reversal / Feint,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Alakazam,,54,Inner Focus,,,Calm Mind / Psychic / Future Sight / Psyshock,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 214,,Ranchers Ava,,,,,,,,,,,,,,,,,
,Stunky,,21,Stench,,,Poison Gas / Smokescreen / Acid Spray / Bite,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 215,,Ranchers Matt,,,,,,,,,,,,,,,,,
,Glameow,,21,Limber,,,Fake Out / Growl / Aerial Ace / Fury Swipes,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 216,,Rancher Marco,,,,,,,,,,,,,,,,,
,Aipom,,18,Pickup,,,Sand Attack / Astonish / Tickle / Fury Swipes,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Psyduck,,19,Cloud Nine,,,Scratch / Tail Whip / Confusion / Water Pulse,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Girafarig,,17,Inner Focus,,,Growl / Confusion / Assurance / Stomp,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 217,,Fisher Erick,,,,,,,,,,,,,,,,,
,Goldeen,,22,Water Veil,,,Peck / Water Pulse / Rain Dance / Poison Jab,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Barboach,,23,Hydration,,,Mud-Slap / Water Pulse / Rock Tomb / Bulldoze,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,24,Intimidate,,,Whirlpool / Scary Face / Substitute / Scald,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 218,,Twins Emma,,,,,,,,,,,,,,,,,
,Bonsly,,19,Rock Head,,,Fake Tears / Copycat / Flail / Rock Throw,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 219,,Twins Lil,,,,,,,,,,,,,,,,,
,Mime Jr.,,19,Filter,,,Pound / Copycat / Encore / Confusion,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 220,,Commander Mars,,,,,,,,,,,,,,,,,
,Zubat,,14,Inner Focus,,,Absorb / Supersonic / Astonish / U-turn,Jolly,0,0,0,0,0,0,15,0,15,0,15,0
,Purugly,,16,,Thick Fat,Oran Berry,Fake Out / Scratch / Growl / Thief,Jolly,0,0,0,0,0,0,15,0,15,0,15,0
,Trainer ID 221,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Wurmple,,9,Shield Dust,,,Tackle / String Shot / Poison Sting,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Silcoon,,9,Shed Skin,,,Harden,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 222,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Zubat,,11,Inner Focus,,,Absorb / Supersonic / Astonish / Mean Look,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 223,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Cascoon,,11,Shed Skin,,,Harden,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 224,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Wurmple,,10,Shield Dust,,,Tackle / String Shot / Poison Sting,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,10,Limber,,,Fake Out / Scratch / Growl,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 225,,Guitarist Tony,,,,,,,,,,,,,,,,,
,Luxio,,31,Intimidate,,,Leer / Bite / Spark / Roar,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 226,,Guitarist Jerry,,,,,,,,,,,,,,,,,
,Luxio,,44,Intimidate,,,Leer / Bite / Spark / Iron Tail,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 227,,Guitarist Preston,,,,,,,,,,,,,,,,,
,Luxio,,42,Intimidate,,,Bite / Volt Switch / Thunder Wave / Iron Tail,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bibarel,,42,Simple,,,Yawn / Thunderbolt / Bulldoze / Waterfall,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 228,,Guitarist Lonnie,,,,,,,,,,,,,,,,,
,Raichu,,44,Static,,,Thunder Punch / Thunder Wave / Thunderbolt / Quick Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 229,,Ruin Maniac Calvin,,,,,,,,,,,,,,,,,
,Bronzor,,21,Levitate,,,Confusion / Confuse Ray / Payback / Gyro Ball,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Shieldon,,23,Sturdy,,,Taunt / Metal Sound / Take Down / Iron Defense,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 230,,Ruin Maniac Larry,,,,,,,,,,,,,,,,,
,Steelix,,54,Rock Head,,,Curse / Crunch / Double-Edge / Stone Edge,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 231,,Jogger Wyatt,,,,,,,,,,,,,,,,,
,Ponyta,,21,Run Away,,,Tackle / Tail Whip / Flame Charge / Agility,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 232,,Jogger Craig,,,,,,,,,,,,,,,,,
,Luxio,,19,Intimidate,,,Leer / Charge / Bite / Spark,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Staravia,,21,Intimidate,,,Quick Attack / Wing Attack / Double Team / Endeavor,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Ponyta,,20,Flash Fire,,,Tackle / Growl / Tail Whip / Flame Charge,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 233,,Jogger Raul,,,,,,,,,,,,,,,,,
,Staravia,,19,Intimidate,,,Quick Attack / Wing Attack / Double Team / Endeavor,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 234,,Black Belt Colby,,,,,,,,,,,,,,,,,
,Machoke,,25,Guts,,,Leer / Revenge / Knock Off / Bulldoze,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,25,Guts,,,Leer / Revenge / Dig / Bulk Up,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,25,Guts,,,Leer / Revenge / Earthquake / Bulk Up,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 235,,Black Belt Darren,,,,,,,,,,,,,,,,,
,Machoke,,25,Guts,,,Leer / Scary Face / Vital Throw / Poison Jab,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,25,Guts,,,Low Kick / Vital Throw / Thief / Fling,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,25,Guts,,,Low Kick / Leer / Vital Throw / Poison Jab,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 236,,Black Belt Rafael,,,,,,,,,,,,,,,,,
,Meditite,,28,Pure Power,,,Low Kick / Force Palm / Mind Reader / High Jump Kick,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 237,,Black Belt Jeffery,,,,,,,,,,,,,,,,,
,Machoke,,26,Guts,,,Leer / Low Sweep / Knock Off / Rock Tomb,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Meditite,,26,Pure Power,,,Detect / Feint / Force Palm / Rock Slide,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 238,,Black Belt Carl,,,,,,,,,,,,,,,,,
,Croagunk,,52,Dry Skin,,,Poison Jab / Sucker Punch / Revenge / Flatter,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Machamp,,56,No Guard,,,Knock Off / Dynamic Punch / Seismic Toss / Focus Energy,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 239,,Black Belt Ricky,,,,,,,,,,,,,,,,,
,Steelix,,33,Sturdy,,,Thunder Fang / Ice Fang / Iron Tail / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 240,,Gym Leader Gardenia,,,,,,,,,,,,,,,,,
,Cherubi,,19,Chlorophyll,,,Grass Knot / Growth / Dazzling Gleam / Safeguard,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Turtwig,,19,,Shell Armor,Miracle Seed,Grass Knot / Razor Leaf / Reflect / Work Up,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Roserade,!,22,,Technician,Sitrus Berry,Grass Knot / Petal Blizzard / Poison Sting / Stun Spore,Timid,0,36,0,36,0,36,0,15,0,15,0,15
,Trainer ID 241,,Gym Leader Wake,,,,,,,,,,,,,,,,,
,Gyarados,,27,,Intimidate,Wide Lens,Brine / Ice Fang / Crunch / Flail,Jolly,40,56,0,0,0,40,16,16,0,0,0,16
,Quagsire,,27,,Damp,Damp Rock,Rain Dance / Haze / Mud Shot / Scald,Quiet,40,40,4,56,4,0,16,16,5,16,5,0
,Floatzel,!,30,,Swift Swim,Sitrus Berry,Brine / Ice Fang / Bite / Aqua Jet,Adamant,0,84,0,20,0,84,0,17,0,17,0,17
,Trainer ID 242,,Gym Leader Maylene,,,,,,,,,,,,,,,,,
,Meditite,,27,,Pure Power,Light Clay,Drain Punch / Light Screen / Flash / Bulk Up,Naive,36,52,0,0,0,36,15,15,0,0,0,15
,Machoke,,27,,Guts,Expert Belt,Low Sweep / Knock Off / Rock Tomb / Bulldoze,Adamant,36,52,0,0,0,36,15,15,0,0,0,15
,Lucario,!,30,,Steadfast,Big Root,Drain Punch / Screech / Metal Claw / Bulk Up,Adamant,0,68,68,0,0,68,0,15,15,0,0,15
,Trainer ID 243,,Gym Leader Fantina,,,,,,,,,,,,,,,,,
,Drifblim,,32,,Aftermath,Zoom Lens,Strength Sap / Hex / Fly / Will-O-Wisp,Timid,52,0,4,68,4,52,19,0,5,19,5,19
,Gengar,,34,,Cursed Body,Colbur Berry,Shadow Claw / Confuse Ray / Sludge Bomb / Dazzling Gleam,Timid,52,0,4,76,4,68,19,0,5,19,5,19
,Mismagius,!,36,,Levitate,Expert Belt,Confuse Ray / Phantom Force / Magical Leaf / Dazzling Gleam,Timid,44,0,4,92,4,68,19,0,5,19,5,19
,Trainer ID 244,,Gym Leader Candice,,,,,,,,,,,,,,,,,
,Snover,,38,,Snow Warning,Icy Rock,Mist / Razor Leaf / Water Pulse / Avalanche,Relaxed,60,124,0,124,0,0,19,25,0,25,0,0
,Sneasel,,38,,Pickpocket,Chople Berry,Metal Claw / Hone Claws / Dig / Avalanche,Jolly,64,124,0,0,0,124,10,25,10,0,0,25
,Medicham,,40,,Pure Power,Expert Belt,Ice Punch / Bulk Up / Brick Break / Rock Slide,Jolly,64,124,0,0,0,124,10,25,0,0,0,25
,Abomasnow,!,42,,Snow Warning,Sitrus Berry,Aurora Veil / Giga Drain / Earthquake / Blizzard,Quiet,124,60,0,164,0,0,13,25,10,27,10,0
,Trainer ID 245,,Gym Leader Volkner,,,,,,,,,,,,,,,,,
,Raichu,,46,,Static,Shuca Berry,Nuzzle / Volt Switch / Surf / Charge Beam,Timid,12,0,12,160,12,160,11,0,11,28,11,28
,Ambipom,,47,,Technician,Chople Berry,Fake Out / Thunderbolt / Double Hit / Last Resort,Naive,12,80,12,80,12,160,11,20,11,20,11,28
,Octillery,,47,,Sniper,Expert Belt,Octazooka / Focus Energy / Aurora Beam / Charge Beam,Modest,12,0,12,160,12,160,11,0,11,28,11,28
,Luxray,!,49,,Intimidate,Sitrus Berry,Thunder Fang / Ice Fang / Crunch / Iron Tail,Jolly,28,160,28,0,0,200,15,28,15,0,0,30
,Trainer ID 246,,Lass Madeline,,,,,,,,,,,,,,,,,
,Starly,,5,Keen Eye,,,Tackle / Growl / Quick Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,5,Unaware,,,Tackle / Growl / Defense Curl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 247,,Lass Kaitlin,,,,,,,,,,,,,,,,,
,Bidoof,,4,Unaware,,,Tackle / Growl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Budew,,4,Natural Cure,,,Absorb / Growth / Stun Spore / Worry Seed,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Starly,,4,Keen Eye,,,Tackle / Growl,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 248,,Lass Caroline,,,,,,,,,,,,,,,,,
,Cherubi,,15,Chlorophyll,,,Sunny Day / Morning Sun / Growth / Leafage,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Roselia,,15,Leaf Guard,,,Stun Spore / Mega Drain / Leech Seed,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 249,,Lass Molly,,,,,,,,,,,,,,,,,
,Misdreavus,,30,Levitate,,,Confuse Ray / Mean Look / Shadow Ball / Nasty Plot,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 250,,Hiker Louis,,,,,,,,,,,,,,,,,
,Geodude,,15,Rock Head,,,Tackle / Defense Curl / Rock Polish / Rollout,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Onix,,15,Rock Head,,,Harden / Bind / Smack Down / Rock Polish,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 251,,Parasol Lady Alexa,,,,,,,,,,,,,,,,,
,Goldeen,,19,Water Veil,,,Peck / Supersonic / Water Pulse / Horn Attack,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Buizel,,19,Swift Swim,,,Tail Whip / Quick Attack / Water Gun / Bite,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 252,,Parasol Lady Sabrina,,,,,,,,,,,,,,,,,
,Psyduck,,21,Damp,,,Tail Whip / Fury Swipes / Water Pulse / Zen Headbutt,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 253,,Picnicker Diana,,,,,,,,,,,,,,,,,
,Budew,,5,Natural Cure,,,Absorb / Growth / Stun Spore / Worry Seed,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Psyduck,,5,Cloud Nine,,,Scratch / Tail Whip / Water Gun,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 254,,Picnicker Cheyenne,,,,,,,,,,,,,,,,,
,Drifloon,,28,Aftermath,,,Gust / Stockpile / Swallow / Spit Up,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Misdreavus,,28,Levitate,,,Confuse Ray / Mean Look / Hex / Psybeam,Modest,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 255,,Poké Kid Meghan,,,,,,,,,,,,,,,,,
,Pikachu,,41,Static,,,Nuzzle / Charm / Spark / Light Screen,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,41,Static,,,Charm / Double Team / Spark / Light Screen,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,41,Static,,,Charm / Electro Ball / Agility / Light Screen,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,41,Static,,,Charm / Nasty Plot / Thunderbolt / Light Screen,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 256,,Police Officer Danny,,,,,,,,,,,,,,,,,
,Hoothoot,,20,Keen Eye,,,Peck / Growl / Confusion / Psycho Shift,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Machop,,20,No Guard,,,Low Kick / Leer / Low Sweep / Knock Off,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 257,,Police Officer Thomas,,,,,,,,,,,,,,,,,
,Noctowl,,42,Keen Eye,,,Peck / Reflect / Psycho Shift / Uproar,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Machoke,,42,No Guard,,,Low Sweep / Knock Off / Dual Chop / Bulk Up,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 258,,Rich Boy Trey,,,,,,,,,,,,,,,,,
,Luxio,,43,Intimidate,,,Leer / Bite / Spark / Thunder Wave,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 259,,Sailor Marc,,,,,,,,,,,,,,,,,
,Mantyke,,43,Water Absorb,,,Supersonic / Bubble Beam / Air Slash / Aqua Ring,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 260,,Sailor Skyler,,,,,,,,,,,,,,,,,
,Mantyke,,27,Water Absorb,,,Tackle / Supersonic / Wing Attack / Bubble Beam,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,31,Intimidate,,,Leer / Ice Fang / Waterfall / Crunch,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 261,,Sailor Damian,,,,,,,,,,,,,,,,,
,Wingull,,24,Keen Eye,,,Growl / Water Pulse / Roost / Pluck,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Wingull,,24,Keen Eye,,,Quick Attack / Water Pulse / Steel Wing / Aerial Ace,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 262,,School Kid Chance,,,,,,,,,,,,,,,,,
,Haunter,,30,Levitate,,,Confuse Ray / Sucker Punch / Shadow Ball / Dark Pulse,Modest,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 263,,School Kid Forrest,,,,,,,,,,,,,,,,,
,Mr. Mime,,44,Filter,,,Reflect / Dazzling Gleam / Thunderbolt / Energy Ball,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 264,,School Kid Harrison,,,,,,,,,,,,,,,,,
,Abra,,6,Synchronize,,,Charge Beam,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 265,,School Kid Mackenzie,,,,,,,,,,,,,,,,,
,Drifloon,,28,Aftermath,,,Gust / Stockpile / Swallow / Spit Up,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Drifloon,,28,Flare Boost,,,Minimize / Focus Energy / Payback / Shadow Ball,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 266,,School Kid Tiera,,,,,,,,,,,,,,,,,
,Pachirisu,,44,Pickup,,,Charm / Spark / Nuzzle / Dig,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 267,,School Kid Christine,,,,,,,,,,,,,,,,,
